Duration (in seconds),What is your age (# years)?,What is your gender? - Selected Choice,What is your gender? - Prefer to self-describe - Text,In which country do you currently reside?,What is the highest level of formal education that you have attained or plan to attain within the next 2 years?,Select the title most similar to your current role (or most recent title if retired): - Selected Choice,Select the title most similar to your current role (or most recent title if retired): - Other - Text,What is the size of the company where you are employed?,Approximately how many individuals are responsible for data science workloads at your place of business?,Does your current employer incorporate machine learning methods into their business?
510,22-24,Male,-1,France,Master’s degree,Software Engineer,-1,"1000-9,999 employees",0,I do not know
423,40-44,Male,-1,India,Professional degree,Software Engineer,-1,"> 10,000 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
83,55-59,Female,-1,Germany,Professional degree,,-1,,,
391,40-44,Male,-1,Australia,Master’s degree,Other,0,"> 10,000 employees",20+,I do not know
392,22-24,Male,-1,India,Bachelor’s degree,Other,1,0-49 employees,0,No (we do not use ML methods)
470,50-54,Male,-1,France,Master’s degree,Data Scientist,-1,0-49 employees,4-Mar,"We have well established ML methods (i.e., models in production for more than 2 years)"
529,22-24,Male,-1,India,Master’s degree,Data Scientist,-1,50-249 employees,20+,We are exploring ML methods (and may one day put a model into production)
624,22-24,Female,-1,United States of America,Bachelor’s degree,Data Scientist,-1,"> 10,000 employees",20+,"We recently started using ML methods (i.e., models in production for less than 2 years)"
214,22-24,Male,-1,United States of America,Bachelor’s degree,Student,-1,,,
691,55-59,Male,-1,Netherlands,Master’s degree,Other,2,0-49 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
290,18-21,Male,-1,India,Some college/university study without earning a bachelor’s degree,Student,-1,,,
459,30-34,Male,-1,Germany,Master’s degree,Statistician,-1,0-49 employees,9-May,"We recently started using ML methods (i.e., models in production for less than 2 years)"
397,30-34,Male,-1,Germany,Bachelor’s degree,Data Scientist,-1,50-249 employees,9-May,"We recently started using ML methods (i.e., models in production for less than 2 years)"
372,30-34,Male,-1,United States of America,Master’s degree,Product/Project Manager,-1,"> 10,000 employees",20+,I do not know
524,25-29,Male,-1,India,Bachelor’s degree,Other,3,"1000-9,999 employees",,
485,50-54,Female,-1,United States of America,Master’s degree,Data Analyst,-1,50-249 employees,2-Jan,We use ML methods for generating insights (but do not put working models into production)
426,18-21,Male,-1,Australia,Bachelor’s degree,Software Engineer,-1,0-49 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
420,18-21,Male,-1,India,Some college/university study without earning a bachelor’s degree,Student,-1,,,
756,35-39,Male,-1,France,Master’s degree,Product/Project Manager,-1,"> 10,000 employees",20+,"We recently started using ML methods (i.e., models in production for less than 2 years)"
368,25-29,Male,-1,France,Doctoral degree,Research Scientist,-1,50-249 employees,4-Mar,"We have well established ML methods (i.e., models in production for more than 2 years)"
1529,22-24,Female,-1,Ireland,Master’s degree,Data Analyst,-1,"1000-9,999 employees",14-Oct,We are exploring ML methods (and may one day put a model into production)
979,35-39,Male,-1,United States of America,Bachelor’s degree,Other,4,250-999 employees,14-Oct,"We have well established ML methods (i.e., models in production for more than 2 years)"
691,25-29,Male,-1,India,Master’s degree,Business Analyst,-1,"> 10,000 employees",0,We are exploring ML methods (and may one day put a model into production)
1146,40-44,Male,-1,Russia,Master’s degree,Software Engineer,-1,50-249 employees,2-Jan,No (we do not use ML methods)
377,25-29,Male,-1,Greece,Master’s degree,Research Scientist,-1,250-999 employees,20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
379,30-34,Male,-1,Greece,Master’s degree,Software Engineer,-1,0-49 employees,0,No (we do not use ML methods)
353,35-39,Male,-1,India,Master’s degree,Software Engineer,-1,0-49 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
518,25-29,Male,-1,United States of America,Doctoral degree,Student,-1,,,
528,30-34,Female,-1,Ukraine,Doctoral degree,Research Scientist,-1,"1000-9,999 employees",4-Mar,No (we do not use ML methods)
615,25-29,Female,-1,Pakistan,Master’s degree,Research Scientist,-1,0-49 employees,14-Oct,We use ML methods for generating insights (but do not put working models into production)
1486,30-34,Male,-1,Japan,Master’s degree,Software Engineer,-1,"> 10,000 employees",2-Jan,"We recently started using ML methods (i.e., models in production for less than 2 years)"
538,30-34,Male,-1,Japan,Master’s degree,Data Scientist,-1,0-49 employees,14-Oct,We are exploring ML methods (and may one day put a model into production)
884,25-29,Female,-1,Other,Master’s degree,Data Analyst,-1,"1000-9,999 employees",9-May,No (we do not use ML methods)
402,30-34,Female,-1,United States of America,Master’s degree,Research Scientist,-1,"> 10,000 employees",20+,"We recently started using ML methods (i.e., models in production for less than 2 years)"
448,22-24,Male,-1,Brazil,Bachelor’s degree,Data Scientist,-1,"> 10,000 employees",2-Jan,"We recently started using ML methods (i.e., models in production for less than 2 years)"
1023,25-29,Male,-1,India,Bachelor’s degree,Other,5,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
384,35-39,Male,-1,South Korea,Master’s degree,Data Analyst,-1,50-249 employees,4-Mar,"We recently started using ML methods (i.e., models in production for less than 2 years)"
973,25-29,Male,-1,Brazil,Master’s degree,Data Analyst,-1,250-999 employees,0,We are exploring ML methods (and may one day put a model into production)
843,35-39,Male,-1,France,Master’s degree,Data Engineer,-1,"> 10,000 employees",4-Mar,"We recently started using ML methods (i.e., models in production for less than 2 years)"
1341,30-34,Female,-1,United States of America,Doctoral degree,Product/Project Manager,-1,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
621,25-29,Male,-1,India,Bachelor’s degree,Software Engineer,-1,50-249 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
334,22-24,Male,-1,India,Master’s degree,Not employed,-1,,,
578,22-24,Male,-1,India,Master’s degree,Not employed,-1,,,
529,35-39,Male,-1,Belarus,Master’s degree,Software Engineer,-1,"> 10,000 employees",20+,We are exploring ML methods (and may one day put a model into production)
538,25-29,Male,-1,India,Bachelor’s degree,DBA/Database Engineer,-1,50-249 employees,4-Mar,No (we do not use ML methods)
380,22-24,Male,-1,India,Bachelor’s degree,Software Engineer,-1,50-249 employees,0,No (we do not use ML methods)
691,25-29,Male,-1,India,Master’s degree,Data Engineer,-1,"> 10,000 employees",4-Mar,We are exploring ML methods (and may one day put a model into production)
648,25-29,Male,-1,Nigeria,Master’s degree,Data Analyst,-1,50-249 employees,9-May,No (we do not use ML methods)
352,35-39,Female,-1,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Software Engineer,-1,0-49 employees,0,No (we do not use ML methods)
402,30-34,Male,-1,Sweden,Master’s degree,Data Analyst,-1,0-49 employees,2-Jan,"We recently started using ML methods (i.e., models in production for less than 2 years)"
682,35-39,Male,-1,United States of America,Bachelor’s degree,Data Scientist,-1,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
389,25-29,Male,-1,India,Bachelor’s degree,Business Analyst,-1,"> 10,000 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
507,18-21,Male,-1,India,Professional degree,Student,-1,,,
1868,30-34,Male,-1,Germany,Master’s degree,Data Engineer,-1,"1000-9,999 employees",9-May,"We have well established ML methods (i.e., models in production for more than 2 years)"
523,25-29,Male,-1,Germany,Bachelor’s degree,Data Scientist,-1,250-999 employees,9-May,We use ML methods for generating insights (but do not put working models into production)
682,25-29,Male,-1,India,Some college/university study without earning a bachelor’s degree,Data Analyst,-1,"> 10,000 employees",9-May,No (we do not use ML methods)
578,45-49,Female,-1,India,Doctoral degree,Data Analyst,-1,50-249 employees,2-Jan,No (we do not use ML methods)
831,40-44,Male,-1,India,Master’s degree,Other,6,"> 10,000 employees",20+,I do not know
